brand,customer_id,order_id,order_date,channel_id,ORDER_SUBTOTAL_BEFORE_DDDCT
SWI,27557921,45075321,2021-04-10,1,5.25
SWI,6035037,45078772,2021-04-10,1,5.75
SWI,0,45074691,2021-04-10,11,6.5
SWI,28029769,45083896,2021-04-10,1,12.0
SWI,2604157,45083904,2021-04-10,3,12.5
SWI,28030068,45085122,2021-04-10,1,13.5
SWI,16419949,45085864,2021-04-10,1,15.0
SWI,14134037,45088823,2021-04-10,3,28.0
SWI,28028682,45081085,2021-04-10,2,30.0
SWI,8239368,45086118,2021-04-10,2,34.0
SWI,27339176,45082397,2021-04-10,1,40.0
SWI,5737850,45081845,2021-04-10,3,48.0
SWI,24960282,45075504,2021-04-10,2,56.0
SWI,0,45089264,2021-04-10,11,58.0
SWI,10791259,45089225,2021-04-10,1,72.0
SWI,7197136,45078748,2021-04-10,1,64.25
SWI,28028709,45079062,2021-04-10,1,64.25
SWI,28027327,45073897,2021-04-10,1,64.25
SWI,11702723,45074269,2021-04-10,1,64.25
SWI,27658723,45077752,2021-04-10,3,68.25
SWI,0,45084372,2021-04-10,12,68.25
SWI,2902566,45087757,2021-04-10,2,96.25
SWI,3016923,45079853,2021-04-10,2,32.25
SWI,14045833,45084519,2021-04-10,3,32.25
SWI,3026306,45088613,2021-04-10,1,34.25
SWI,28027581,45074908,2021-04-10,3,34.25
SWI,0,45079999,2021-04-10,11,34.25
SWI,28028843,45079729,2021-04-10,3,36.25
SWI,0,45087766,2021-04-10,11,36.25
SWI,28028837,45079523,2021-04-10,1,38.25
SWI,4603634,45084127,2021-04-10,2,38.25
SWI,12703479,45085394,2021-04-10,1,40.25
SWI,4546998,45078066,2021-04-10,1,40.25
SWI,16412497,45083775,2021-04-10,1,40.25
SWI,13040173,45086185,2021-04-10,3,40.25
SWI,4948678,45076855,2021-04-10,1,42.25
SWI,4767475,45075485,2021-04-10,2,42.25
SWI,24885993,45075347,2021-04-10,3,42.25
SWI,0,45073984,2021-04-10,11,42.25
SWI,10741309,45088499,2021-04-10,2,44.25
SWI,6686744,45089354,2021-04-10,3,44.25
SWI,0,45088114,2021-04-10,11,44.25
SWI,0,45085562,2021-04-10,11,44.25
SWI,11783481,45089095,2021-04-10,1,46.25
SWI,2664434,45084979,2021-04-10,1,46.25
SWI,5233590,45076621,2021-04-10,2,46.25
SWI,10002435,45074518,2021-04-10,2,46.25
SWI,28030807,45088493,2021-04-10,3,46.25
SWI,0,45089452,2021-04-10,11,46.25
SWI,0,45083281,2021-04-10,11,48.25
SWI,4541554,45077960,2021-04-10,1,50.25
SWI,12116471,45083488,2021-04-10,1,50.25
SWI,27343025,45076496,2021-04-10,2,50.25
SWI,14415771,45081297,2021-04-10,3,50.25
SWI,10788903,45080111,2021-04-10,3,52.25
SWI,14008515,45075972,2021-04-10,3,52.25
SWI,28028620,45078761,2021-04-10,1,54.25
SWI,4433358,45088886,2021-04-10,1,54.25
SWI,6811217,45074010,2021-04-10,1,54.25
SWI,28030964,45089155,2021-04-10,2,56.25
SWI,28029184,45081376,2021-04-10,3,56.25
SWI,6860973,45086044,2021-04-10,3,56.25
SWI,3245721,45074769,2021-04-10,1,60.25
SWI,2776244,45083658,2021-04-10,1,60.25
SWI,27905185,45079153,2021-04-10,1,60.25
SWI,0,45082157,2021-04-10,11,60.25
SWI,28029658,45083325,2021-04-10,1,62.25
SWI,16388365,45074457,2021-04-10,3,62.25
SWI,6345531,45079440,2021-04-10,3,92.5
SWI,10609349,45076612,2021-04-10,2,116.5
SWI,0,45080154,2021-04-10,11,129.0
SWI,2702055,45083805,2021-04-10,2,64.75
SWI,28029976,45084767,2021-04-10,2,64.75
SWI,9669961,45075531,2021-04-10,3,68.75
SWI,27334703,45084952,2021-04-10,2,72.75
SWI,3499142,45084320,2021-04-10,1,80.75
SWI,5859758,45085375,2021-04-10,1,80.75
SWI,28027994,45076414,2021-04-10,2,17.25
SWI,0,45077020,2021-04-10,12,20.25
SWI,0,45084270,2021-04-10,12,23.25
SWI,28029413,45082243,2021-04-10,1,24.25
SWI,3279661,45089101,2021-04-10,3,24.25
SWI,28029978,45084909,2021-04-10,1,27.25
SWI,6319784,45085329,2021-04-10,3,27.25
SWI,0,45085585,2021-04-10,11,27.25
SWI,28029676,45083654,2021-04-10,3,28.25
SWI,0,45075971,2021-04-10,11,29.25
SWI,15097949,45078605,2021-04-10,2,30.25
SWI,10811559,45079208,2021-04-10,3,30.25
SWI,10782435,45086008,2021-04-10,1,34.5
SWI,4700469,45078682,2021-04-10,3,34.5
SWI,11682357,45088144,2021-04-10,2,38.5
SWI,28030939,45089078,2021-04-10,1,54.5
SWI,11610289,45083422,2021-04-10,1,54.5
SWI,28030315,45086238,2021-04-10,2,56.5
SWI,27575342,45079279,2021-04-10,1,60.5
SWI,2645802,45087246,2021-04-10,1,62.5
SWI,28027330,45073910,2021-04-10,1,81.0
SWI,9062029,45079396,2021-04-10,3,97.0
SWI,28030396,45086833,2021-04-10,1,65.25
SWI,28029997,45084817,2021-04-10,1,65.25
SWI,10351161,45080926,2021-04-10,2,69.25
SWI,7112082,45083683,2021-04-10,1,73.25
SWI,0,45085302,2021-04-10,11,73.25
